TIME,SPOT,PCR,MAX_PAIN,TOTAL_CALL_OI,TOTAL_PUT_OI,CALL_OI_CHG,PUT_OI_CHG,TOTAL_CALL_VOL,TOTAL_PUT_VOL,ATM_STRIKE,ATM_CE_LTP,ATM_CE_OI,ATM_CE_VOL,ATM_CE_IV,ATM_CE_DELTA,ATM_CE_GAMMA,ATM_CE_THETA,ATM_PE_LTP,ATM_PE_OI,ATM_PE_VOL,ATM_PE_IV,ATM_PE_DELTA,ATM_PE_GAMMA,ATM_PE_THETA,IV_SKEW,MAX_CALL_STRIKE,MAX_PUT_STRIKE,CALL_OI_BUILD,PUT_OI_BUILD,CALL_OI_UNWIND,PUT_OI_UNWIND,EMA6_BIAS,RSI14,OI_MOMENTUM,EXPIRY,DTE
13:52:16,22445.1,0.8642,22650,288344360,249198160,127619040,107617330,7049079700,6725031105,22450,53.60,6367660,188702085,45.2900,0.4932,0.002900,-407.1783,57.05,13008125,527288905,45.2900,-0.5068,0.002900,-407.1783,0.0000,22500,22500,165670300,135932585,38051260,28315255,NEUTRAL,,BUILDING,2026-03-30,0
14:01:22,22439.45,0.8210,22700,292464930,240102635,131739610,98521805,7323821895,7069471045,22450,48.60,10099050,213803135,46.2600,0.4941,0.003000,-436.5808,57.25,11451115,562440970,44.0700,-0.5063,0.003100,-415.8395,-2.1900,22500,22400,170457550,127445865,38717940,28924060,NEUTRAL,,BUILDING,2026-03-30,0
14:04:41,22481.25,0.8186,22650,295950815,242266640,135225495,100685810,7517660670,7234730815,22500,46.70,24792495,664970735,45.1000,0.4522,0.003100,-431.5021,55.65,16496805,958707360,43.5200,-0.5496,0.003200,-416.0873,-1.5800,22500,22400,174145520,129750505,38920025,29064695,NEUTRAL,,BUILDING,2026-03-30,0
14:21:59,22406.6,0.8257,22650,294279545,242991130,133554225,101410300,8170278415,7901983635,22400,45.95,9071530,189438340,37.9600,0.5850,0.004000,-399.1268,36.80,21963045,866469955,42.5400,-0.4238,0.003600,-449.3158,4.5800,22500,22400,173475030,131678775,39920805,30268475,NEUTRAL,,BUILDING,2026-03-30,0
14:23:23,22390.7,0.8257,22650,294278440,242991325,133553120,101410495,8235554860,7993507535,22400,39.20,9071530,196659580,41.6900,0.5021,0.003800,-452.7417,43.50,21963045,884136370,40.7700,-0.4979,0.003900,-442.7985,-0.9200,22500,22400,173475160,131678710,39922040,30268215,BEARISH,36.84,BUILDING,2026-03-30,0
14:24:23,22402.05,0.7921,22650,293778150,232710750,133052830,91129920,8285603820,8072168000,22400,42.95,11114610,202781865,40.6500,0.5205,0.003900,-444.6237,38.40,19213415,898134640,40.7700,-0.4796,0.003900,-445.9618,0.1200,22500,22300,173080025,121597395,40027195,30467475,BEARISH,34.73,BUILDING,2026-03-30,0
14:25:23,22389.4,0.7921,22650,293775745,232706720,133050425,91125890,8323458975,8127572310,22400,39.00,11114610,207051260,42.4800,0.4670,0.003800,-466.9135,45.30,19213415,907667540,41.2600,-0.5341,0.003900,-453.3975,-1.2200,22500,22300,173080675,121597265,40030250,30471375,BEARISH,29.98,BUILDING,2026-03-30,0
14:26:52,22389.75,0.7714,22650,299017085,230656980,138291765,89076150,8371257700,8197134010,22400,38.55,13905710,211972475,45.7200,0.4366,0.003500,-503.0505,45.85,17931875,919292725,42.8500,-0.5677,0.003700,-470.6286,-2.8700,22500,22300,178461765,119605665,40170000,30529515,BEARISH,31.97,BUILDING,2026-03-30,0
14:27:52,22388.1,0.7767,22650,298419670,231787180,137694350,90206350,8400403375,8235368180,22400,40.00,13905710,215079670,44.1300,0.4780,0.003700,-495.2369,44.25,17931875,925190825,42.1800,-0.5231,0.003900,-473.2430,-1.9500,22500,22300,177969650,120841575,40275300,30635225,BEARISH,32.45,BUILDING,2026-03-30,0
14:28:52,22382.35,0.7767,22650,298419995,231782955,137694675,90202125,8426094950,8269850940,22400,37.40,13905710,217826960,42.8500,0.4590,0.003800,-483.1942,45.35,17931875,929598670,42.9100,-0.5409,0.003800,-483.8902,0.0600,22500,22300,177975955,120841575,40281280,30639450,BEARISH,32.02,BUILDING,2026-03-30,0
