TIME,SPOT,PCR,MAX_PAIN,TOTAL_CALL_OI,TOTAL_PUT_OI,CALL_OI_CHG,PUT_OI_CHG,TOTAL_CALL_VOL,TOTAL_PUT_VOL,ATM_STRIKE,ATM_CE_LTP,ATM_CE_OI,ATM_CE_VOL,ATM_CE_IV,ATM_CE_DELTA,ATM_CE_GAMMA,ATM_CE_THETA,ATM_PE_LTP,ATM_PE_OI,ATM_PE_VOL,ATM_PE_IV,ATM_PE_DELTA,ATM_PE_GAMMA,ATM_PE_THETA,IV_SKEW,MAX_CALL_STRIKE,MAX_PUT_STRIKE,CALL_OI_BUILD,PUT_OI_BUILD,CALL_OI_UNWIND,PUT_OI_UNWIND,EMA6_BIAS,RSI14,OI_MOMENTUM,EXPIRY,DTE
09:17:31,71820.3,0.8596,74000,27585810,23712930,359110,188370,66431280,62949000,71800,319.45,39240,1465980,38.7400,0.5263,0.000500,-570.1404,305.85,252220,2383440,41.9000,-0.4875,0.000500,-617.4044,3.1600,76000,70000,416130,289590,57020,101220,BEARISH,14.96,BUILDING,2026-04-02,0
09:17:49,71792.44,0.8596,74000,27585810,23712930,359110,188370,70997840,67498440,71800,318.95,39240,1626960,40.7900,0.5088,0.000500,-601.3338,317.50,252220,2630740,41.6700,-0.4913,0.000500,-614.3862,0.8800,76000,70000,416130,289590,57020,101220,BEARISH,18.83,BUILDING,2026-04-02,0
09:21:00,71688.15,0.8490,74000,28229510,23965660,1002810,441100,119546820,114614920,71700,290.10,29780,2857180,38.1200,0.5048,0.000600,-563.7455,296.35,209440,5768980,39.2600,-0.4952,0.000500,-580.5536,1.1400,76000,70000,1198530,655560,195720,214460,BEARISH,18.09,BUILDING,2026-04-02,0
09:22:27,71663.25,0.8368,74000,29084810,24338020,1858110,813460,134447020,129880680,71700,273.90,30680,3396420,37.9300,0.4848,0.000600,-561.3901,309.85,223180,6667160,39.6100,-0.5144,0.000500,-586.2731,1.6800,76000,70000,2206540,1144440,348430,330980,BEARISH,17.43,BUILDING,2026-04-02,0
09:26:35,71745.4,0.8475,73900,29518820,25018370,2292120,1493810,181153400,173201420,71700,303.40,45540,5649740,36.1600,0.5359,0.000600,-537.1158,301.00,222940,9317180,43.5300,-0.4695,0.000500,-647.3030,7.3700,76000,70000,2696150,1870850,404030,377040,BEARISH,17.13,BUILDING,2026-04-02,0
09:27:49,71759.83,0.8190,73700,31149660,25512270,3922960,1987710,194516480,184172140,71800,248.55,523600,6313620,35.2600,0.4901,0.000600,-526.7479,345.85,324920,8228260,43.5900,-0.5073,0.000500,-651.2938,8.3300,76000,70000,5070480,2610630,1147520,622920,BULLISH,22.22,BUILDING,2026-04-02,0
09:33:27,71758.52,0.9800,72600,35985290,35265600,8758590,11741040,247134060,227336920,71800,242.90,892780,8685880,34.9700,0.4846,0.000600,-526.2613,341.85,367940,10225120,43.6600,-0.5115,0.000500,-657.1252,8.6900,75000,71000,10824170,12702040,2065580,961000,BULLISH,23.23,BUILDING,2026-04-02,0
09:36:45,71842.51,1.0097,72300,39877790,40263070,12651090,16738510,271537140,250879480,71800,290.45,1439120,9981340,35.2900,0.5224,0.000600,-533.5343,295.55,412580,11388420,43.0800,-0.4809,0.000500,-651.4582,7.7900,73000,71000,15343230,17929670,2692140,1191160,BULLISH,23.23,BUILDING,2026-04-02,0
09:40:45,71790.66,1.0448,72100,40134920,41933640,12908220,18409080,324208520,295431420,71800,257.70,1334180,13048160,35.7500,0.4908,0.000600,-543.8702,322.75,415240,14536580,42.8200,-0.5070,0.000500,-651.4185,7.0700,73000,71000,15783120,19761720,2874900,1352640,BULLISH,23.23,BUILDING,2026-04-02,0
09:42:59,71751.44,1.0472,72000,41445200,43401740,14218500,19877180,342926940,312292240,71800,242.75,1425680,14224520,35.3700,0.4791,0.000600,-539.0529,325.60,493620,15602780,41.7500,-0.5171,0.000500,-636.5486,6.3800,73000,71000,17129740,21454420,2911240,1577240,BULLISH,23.23,BUILDING,2026-04-02,0
09:45:54,71834.41,1.0512,72000,42909790,45106080,15683090,21581520,362850660,330575760,71800,276.35,1560660,15310880,34.6400,0.5275,0.000600,-530.1832,297.10,676940,16617400,43.4000,-0.4773,0.000500,-664.7455,8.7600,73000,71000,19034540,23379380,3351450,1797860,BULLISH,23.23,BUILDING,2026-04-02,0
09:46:57,71773.67,1.0512,72000,42909790,45106080,15683090,21581520,371775140,342380140,71800,243.90,1560660,15834000,33.9400,0.4941,0.000600,-521.0526,320.75,676940,17085720,43.1800,-0.5038,0.000500,-663.0745,9.2400,73000,71000,19034540,23379380,3351450,1797860,BEARISH,38.33,BUILDING,2026-04-02,0
09:48:00,71751.87,1.0430,72000,44110810,46008940,16884110,22484380,378871840,351061400,71800,240.15,1560660,16279280,34.8800,0.4822,0.000600,-535.7583,323.25,861080,17395800,41.9000,-0.5141,0.000500,-643.8018,7.0200,73000,71000,20268730,24557420,3384620,2073040,BEARISH,36.99,BUILDING,2026-04-02,0
09:49:39,71687.67,1.0430,72000,44110810,46008940,16884110,22484380,393802600,365253680,71700,257.25,869610,14609060,34.7300,0.5076,0.000600,-534.7057,293.50,3410480,23700740,40.7100,-0.4929,0.000500,-626.8129,5.9800,73000,71000,20268730,24557420,3384620,2073040,BEARISH,35.95,BUILDING,2026-04-02,0
09:51:05,71706.33,1.0220,72000,46114300,47130960,18887600,23606400,402713700,377354500,71700,259.90,1095940,15036440,34.2400,0.5182,0.000600,-527.9478,284.00,3410480,24735440,40.8200,-0.4841,0.000500,-629.5039,6.5800,73000,71000,22405020,25859600,3517420,2253200,BEARISH,19.72,BUILDING,2026-04-02,0
09:55:01,71682.32,1.0003,72000,50867900,50882160,23641200,27357600,433970040,411063820,71700,237.90,1526400,16667600,33.2900,0.4953,0.000700,-516.6318,297.60,3301300,27507940,40.6500,-0.5032,0.000500,-630.7761,7.3600,73000,71000,27503600,29963100,3862400,2605500,BEARISH,19.72,BUILDING,2026-04-02,0
09:56:05,71695.61,1.0367,71800,58576020,60727420,31349320,37202860,441523920,418393000,71700,242.15,2054880,17026480,32.7200,0.5047,0.000700,-508.6765,290.55,3166000,27985180,41.1400,-0.4955,0.000500,-639.4940,8.4200,73000,71000,36428120,40694420,5078800,3491560,BEARISH,19.12,BUILDING,2026-04-02,0
09:57:35,71680.77,1.0367,71800,58576020,60727420,31349320,37202860,450130380,429009000,71700,228.35,2054880,17594780,32.0900,0.4973,0.000700,-499.8815,299.35,3166000,28735960,41.0000,-0.5013,0.000500,-638.7068,8.9100,73000,71000,36428120,40694420,5078800,3491560,BEARISH,19.59,BUILDING,2026-04-02,0
10:00:10,71642.95,0.9844,71900,61862220,60899640,34635520,37375080,465523520,446216180,71600,260.75,924880,8456880,32.3000,0.5391,0.000700,-502.3436,261.90,1970860,20055220,40.7100,-0.4682,0.000500,-634.2807,8.4100,72500,71000,39719100,40934820,5083580,3559740,BEARISH,19.40,BUILDING,2026-04-02,0
10:02:08,71682.5,0.9443,72000,62721920,59229880,35495220,35705320,489759500,483044620,71700,235.20,2302220,20111840,33.2500,0.4982,0.000700,-521.5295,273.95,2998800,32416760,37.9900,-0.5012,0.000600,-595.9667,4.7400,72500,71000,40478840,39327860,4983620,3622540,BEARISH,18.44,BUILDING,2026-04-02,0
10:03:35,71695.32,0.9341,72000,64392870,60152580,37166170,36628020,499410460,494109700,71700,234.20,2378260,20759620,33.2600,0.4990,0.000700,-522.8372,274.45,3019220,33155960,37.9000,-0.5004,0.000600,-595.8826,4.6400,72500,71000,42249450,40271680,5083280,3643660,BEARISH,19.26,BUILDING,2026-04-02,0
10:07:03,71582.4,0.9358,72000,64755290,60596700,37528590,37072140,524188580,519181980,71600,230.35,1105000,11026180,32.9400,0.5055,0.000700,-519.9715,269.30,2022060,24461920,37.8100,-0.4948,0.000600,-596.8075,4.8700,72500,71000,42598030,40711840,5069440,3639700,BEARISH,20.12,BUILDING,2026-04-02,0
10:08:39,71580,0.9072,72000,66369820,60213600,39143120,36689040,537212040,534665040,71600,233.15,1386980,11643380,33.8100,0.4937,0.000700,-534.8852,268.60,2023100,25522360,37.0600,-0.5055,0.000600,-586.3198,3.2500,72500,71000,44219600,40405200,5076480,3716160,BEARISH,18.10,BUILDING,2026-04-02,0
10:10:55,71568.54,0.9072,72000,66369820,60213600,39143120,36689040,552068360,548255280,71600,229.20,1386980,12290300,33.6900,0.4922,0.000700,-534.7626,265.80,2023100,26427940,37.0000,-0.5068,0.000600,-587.3490,3.3100,72500,71000,44219600,40405200,5076480,3716160,BEARISH,19.55,BUILDING,2026-04-02,0
10:12:06,71619.15,0.8921,72000,67763730,60455360,40537030,36930800,558572980,557478780,71600,239.15,1571200,12644020,31.3600,0.5240,0.000700,-498.1679,249.85,2023200,27023260,38.1900,-0.4797,0.000600,-607.0848,6.8300,72500,71000,45635550,40667440,5098520,3736640,BEARISH,18.97,BUILDING,2026-04-02,0
10:13:35,71630.64,0.8921,72000,67763730,60455360,40537030,36930800,566837800,567186820,71600,246.70,1571200,13165600,31.9200,0.5273,0.000700,-508.0778,240.95,2023200,27666360,37.3100,-0.4762,0.000600,-594.1423,5.3900,72500,71000,45635550,40667440,5098520,3736640,BEARISH,20.49,BUILDING,2026-04-02,0
10:15:24,71627.11,0.8932,72000,68350680,61048580,41123980,37524020,590641620,590463160,71600,261.00,1534840,14508280,33.3100,0.5374,0.000700,-530.7076,231.70,2081520,29222760,37.2200,-0.4662,0.000600,-593.4210,3.9100,72500,71000,46241580,41284940,5117600,3760920,BULLISH,25.86,BUILDING,2026-04-02,0
10:16:41,71614.78,0.8947,72000,68226910,61044380,41000210,37519820,601659480,599520060,71600,246.95,1534840,15023160,33.9200,0.5206,0.000700,-543.0690,238.55,2081520,29916780,35.8600,-0.4803,0.000600,-574.1654,1.9400,72500,71000,46178340,41284940,5178130,3765120,BEARISH,22.03,BUILDING,2026-04-02,0
10:20:20,71640.31,0.9237,72000,68505740,63277160,41279040,39752600,630415300,625430400,71600,241.75,1485240,16497680,30.8300,0.5398,0.000700,-494.8511,235.45,2247360,31822600,37.7000,-0.4669,0.000600,-606.1140,6.8700,72500,71000,46592740,43561560,5313700,3808960,BEARISH,21.19,BUILDING,2026-04-02,0
10:21:35,71652.75,0.9237,72000,68505740,63277160,41279040,39752600,642561240,636153420,71700,199.35,2488520,29911160,31.0700,0.4758,0.000700,-501.3531,277.80,2753160,42474240,37.9600,-0.5192,0.000600,-613.0705,6.8900,72500,71000,46592740,43561560,5313700,3808960,BULLISH,24.81,BUILDING,2026-04-02,0
10:25:57,71638.6,0.9168,72000,69912240,64093480,42685540,40568920,671590660,664719860,71600,237.80,1593180,18663680,30.9000,0.5372,0.000700,-500.8053,234.80,2436480,34879500,37.7500,-0.4690,0.000600,-612.6608,6.8500,72500,71000,48149820,44437940,5464280,3869020,BEARISH,23.36,BUILDING,2026-04-02,0
10:27:05,71674.42,0.9168,72000,69912240,64093480,42685540,40568920,680070620,673059380,71700,204.50,2697080,32244360,31.2800,0.4792,0.000700,-509.5768,271.65,2599860,44724000,38.5100,-0.5163,0.000600,-627.7301,7.2300,72500,71000,48149820,44437940,5464280,3869020,BEARISH,23.48,BUILDING,2026-04-02,0
10:28:05,71671.09,0.9196,72000,70096640,64463380,42869940,40938820,685869620,676952920,71700,212.30,2733840,32659280,32.1100,0.4913,0.000700,-524.7148,269.70,2592580,44979120,38.1200,-0.5068,0.000600,-622.8811,6.0100,72500,71000,48381940,44823020,5512000,3884200,BULLISH,25.01,BUILDING,2026-04-02,0
10:29:44,71663.61,0.9196,72000,70096640,64463380,42869940,40938820,694080720,683198300,71700,214.10,2733840,33218260,32.6500,0.4830,0.000700,-534.5953,273.25,2592580,45418960,38.5700,-0.5138,0.000600,-631.7101,5.9200,72500,71000,48381940,44823020,5512000,3884200,BULLISH,24.57,BUILDING,2026-04-02,0
10:31:14,71652.19,0.9300,72000,70194760,65280050,42968060,41755490,702225900,689452060,71700,208.45,2759420,33891700,32.9100,0.4800,0.000700,-539.9398,276.75,2764920,45897360,37.9300,-0.5163,0.000600,-622.6299,5.0200,72500,71000,48484840,45638290,5516780,3882800,BULLISH,24.43,BUILDING,2026-04-02,0
10:32:35,71690.23,0.9300,72000,70194760,65280050,42968060,41755490,710631720,696016400,71700,220.10,2759420,34447160,32.2600,0.5001,0.000700,-531.3080,265.05,2764920,46250540,39.0000,-0.4993,0.000600,-642.3916,6.7400,72500,71000,48484840,45638290,5516780,3882800,BULLISH,24.81,BUILDING,2026-04-02,0
10:34:21,71640.26,0.9419,71900,70068020,65998960,42841320,42474400,723457800,706179740,71600,235.70,1529140,21497460,30.2700,0.5434,0.000800,-496.8228,232.25,2739840,37874760,38.1900,-0.4649,0.000600,-628.0827,7.9200,72500,71000,48375440,46346180,5534120,3871780,BULLISH,25.68,BUILDING,2026-04-02,0
10:35:35,71632.19,0.9419,71900,70068020,65998960,42841320,42474400,729977900,711483540,71600,231.70,1529140,21819100,29.9700,0.5439,0.000800,-492.7564,234.20,2739840,38362640,38.5700,-0.4652,0.000600,-635.6933,8.6000,72500,71000,48375440,46346180,5534120,3871780,BEARISH,24.22,BUILDING,2026-04-02,0
10:37:03,71649.97,0.9348,71900,71184800,66547080,43958100,43022520,740487580,718885380,71600,238.50,1587560,22286580,30.9800,0.5457,0.000800,-510.4137,228.85,2809280,38991920,38.1800,-0.4623,0.000600,-630.4201,7.2000,72000,71000,49506080,46893940,5547980,3871420,BEARISH,23.85,BUILDING,2026-04-02,0
10:38:05,71665.13,0.9348,71900,71184800,66547080,43958100,43022520,745566740,724119760,71700,206.05,2870380,36823860,32.7300,0.4808,0.000700,-543.3106,266.10,2811600,48066840,37.6000,-0.5163,0.000600,-624.3115,4.8700,72000,71000,49506080,46893940,5547980,3871420,BEARISH,24.24,BUILDING,2026-04-02,0
10:39:06,71665.3,0.9485,71900,71273940,67605120,44047240,44080560,751245120,730146520,71700,202.25,2922440,37123280,31.7500,0.4828,0.000700,-528.1248,271.40,2875000,48316820,38.1800,-0.5138,0.000600,-635.1785,6.4300,72000,71000,49648980,47967760,5601740,3887200,BULLISH,25.59,BUILDING,2026-04-02,0
10:40:35,71690.32,0.9485,71900,71273940,67605120,44047240,44080560,760030100,737675860,71700,218.10,2922440,37713680,32.6200,0.4986,0.000700,-544.6901,253.80,2875000,48775220,37.5800,-0.5008,0.000600,-627.4891,4.9600,72000,71000,49648980,47967760,5601740,3887200,BULLISH,25.69,BUILDING,2026-04-02,0
10:42:05,71665.87,0.9480,71900,71315000,67603240,44088300,44078680,774183960,751597400,71700,200.65,2922680,38728660,32.2900,0.4796,0.000700,-539.5585,265.90,2875000,49757940,37.6900,-0.5170,0.000600,-630.0746,5.4000,72000,71000,49669860,47966840,5581560,3888160,BULLISH,27.73,BUILDING,2026-04-02,0
10:43:56,71693.64,0.9553,71900,70954800,67782840,43728100,44258280,788665720,760508340,71700,220.70,2882040,39716500,32.2400,0.5006,0.000700,-541.4053,254.20,2875000,50277120,38.7600,-0.4990,0.000600,-650.8094,6.5200,72500,71000,49361280,48153700,5633180,3895420,BULLISH,27.85,BUILDING,2026-04-02,0
10:45:28,71683.58,0.9553,71900,70954800,67782840,43728100,44258280,798689520,766286160,71700,206.40,2882040,40393540,31.6800,0.4924,0.000800,-533.2386,264.20,2875000,50699700,39.0300,-0.5056,0.000600,-657.0975,7.3500,72500,71000,49361280,48153700,5633180,3895420,BULLISH,28.39,BUILDING,2026-04-02,0
10:48:02,71571.56,0.9583,71900,71549020,68562760,44322320,45038200,821927680,783805240,71600,210.45,1605140,26039580,32.7000,0.5005,0.000700,-552.3538,243.70,3033440,43764060,36.1600,-0.4993,0.000700,-610.8659,3.4600,72500,71000,49924040,48945280,5601720,3907080,BULLISH,26.53,BUILDING,2026-04-02,0
10:51:28,71620,0.9301,71900,72534660,67464640,45307960,43940080,842907760,803276200,71600,215.60,1775960,27316940,30.8700,0.5285,0.000800,-523.5086,232.00,2885000,45133180,37.4800,-0.4759,0.000600,-636.0349,6.6100,72500,71000,50944940,47901100,5636980,3961020,BEARISH,23.77,BUILDING,2026-04-02,0
10:52:33,71614.73,0.9223,71900,73716180,67984940,46489480,44460380,846033080,805721440,71600,216.55,1850260,27453420,31.3000,0.5167,0.000800,-532.5790,231.55,2947600,45323540,37.0200,-0.4854,0.000700,-630.0885,5.7200,72500,71000,52128300,48420540,5638820,3960160,BEARISH,24.90,BUILDING,2026-04-02,0
10:53:55,71695.75,0.9223,71900,73716180,67984940,46489480,44460380,855668640,816610400,71700,200.15,3129800,44072500,31.6300,0.4868,0.000800,-540.3024,245.10,2782480,53915740,36.2100,-0.5111,0.000700,-618.5885,4.5800,72500,71000,52128300,48420540,5638820,3960160,BEARISH,25.55,BUILDING,2026-04-02,0
10:54:56,71694.71,0.9342,71900,73126760,68315710,45900060,44791150,867374100,828954900,71700,200.90,3074780,44935140,30.0000,0.5069,0.000800,-513.7561,250.70,2858900,54638940,38.7300,-0.4971,0.000600,-663.1874,8.7300,72500,71000,51547440,48751630,5647380,3960480,BULLISH,30.98,BUILDING,2026-04-02,0
10:58:09,71733.87,0.9633,71800,72446940,69790250,45220240,46265690,899516080,854033080,71700,223.05,2953300,47434840,30.9900,0.5339,0.000800,-532.2637,228.55,3104240,56509580,38.1600,-0.4719,0.000600,-656.1747,7.1700,72500,71000,50887280,50227690,5667040,3962000,BULLISH,30.91,BUILDING,2026-04-02,0
11:01:16,71735.15,0.9730,71800,72408610,70451860,45181910,46927300,924943480,874745020,71700,224.75,2850680,49211640,30.8100,0.5336,0.000800,-532.2231,233.00,3395740,58227780,39.4400,-0.4730,0.000600,-682.2887,8.6300,72500,71000,50852610,50885820,5670700,3958520,BULLISH,32.39,BUILDING,2026-04-02,0
